epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2811.77,0.96082,1.31885,1.07245,0.74484,0.82533,0.82646,0.50504,1.51702,1.10007,1.19705,0.000398525,0.000398525,0.000398525
43,2877,0.91081,1.162,1.01308,0.74204,0.85258,0.83708,0.52364,1.4681,1.08142,1.1734,0.00039605,0.00039605,0.00039605
44,2941.69,0.97125,1.4561,1.10806,0.74902,0.86713,0.84818,0.53535,1.4389,1.05346,1.16604,0.000393575,0.000393575,0.000393575
45,3007.16,0.8925,1.24697,1.02702,0.75276,0.87552,0.87237,0.55795,1.40666,1.02053,1.15413,0.0003911,0.0003911,0.0003911
46,3072.29,0.98519,1.34505,1.09015,0.77664,0.87644,0.87993,0.55433,1.44039,1.01459,1.17765,0.000388625,0.000388625,0.000388625
47,3137.76,0.9402,1.24283,1.05327,0.77664,0.87644,0.87993,0.55433,1.44039,1.01459,1.17765,0.00038615,0.00038615,0.00038615
48,3203.58,0.96247,1.18237,1.04827,0.80433,0.88612,0.8867,0.54497,1.46839,1.01023,1.19908,0.000383675,0.000383675,0.000383675
49,3269.31,0.91711,1.20829,1.09241,0.81231,0.90296,0.89626,0.54341,1.49378,1.003,1.21881,0.0003812,0.0003812,0.0003812
50,3335.1,0.93633,1.19068,1.0536,0.78537,0.90513,0.89919,0.53627,1.52873,1.00351,1.24336,0.000378725,0.000378725,0.000378725
51,3400.75,0.94072,1.23493,1.06009,0.7544,0.94885,0.90271,0.52545,1.56336,0.99475,1.26479,0.00037625,0.00037625,0.00037625
52,3465.7,0.93581,1.22867,1.05204,0.7544,0.94885,0.90271,0.52545,1.56336,0.99475,1.26479,0.000373775,0.000373775,0.000373775
53,3530.82,0.86762,1.20641,1.01571,0.72854,0.91703,0.9031,0.52254,1.58312,0.98598,1.26944,0.0003713,0.0003713,0.0003713
54,3596.42,0.9671,1.14963,1.05115,0.69433,0.9105,0.89276,0.53128,1.53105,1.02992,1.23078,0.000368825,0.000368825,0.000368825
55,3661.98,1.02657,1.1779,1.07712,0.71071,0.88944,0.89023,0.528,1.53961,1.05012,1.23724,0.00036635,0.00036635,0.00036635
56,3727.69,0.90731,1.21403,1.02158,0.79594,0.84838,0.90342,0.54732,1.48756,0.99942,1.21672,0.000363875,0.000363875,0.000363875
57,3792.65,0.86849,1.11456,1.01722,0.79594,0.84838,0.90342,0.54732,1.48756,0.99942,1.21672,0.0003614,0.0003614,0.0003614
58,3857.55,0.92212,1.18877,1.06966,0.85827,0.89072,0.92117,0.57479,1.42202,0.93494,1.19335,0.000358925,0.000358925,0.000358925
59,3922.68,0.94082,1.17036,1.05233,0.84685,0.93399,0.93036,0.6041,1.33146,0.89187,1.15024,0.00035645,0.00035645,0.00035645
60,3988.44,0.96517,1.07719,1.07337,0.81899,0.92778,0.90907,0.5934,1.32455,0.92247,1.14624,0.000353975,0.000353975,0.000353975
61,4054.28,0.90337,1.13655,1.02934,0.82686,0.91483,0.91241,0.60179,1.3066,0.90646,1.13245,0.0003515,0.0003515,0.0003515
62,4119.83,0.91732,1.1613,1.03283,0.87659,0.91498,0.92663,0.60925,1.32429,0.86218,1.13305,0.000349025,0.000349025,0.000349025
63,4185.26,0.9416,1.04426,1.06871,0.87659,0.91498,0.92663,0.60925,1.32429,0.86218,1.13305,0.00034655,0.00034655,0.00034655
64,4251.19,0.91319,1.20541,1.05296,0.85241,0.94702,0.9363,0.61847,1.315,0.83451,1.12065,0.000344075,0.000344075,0.000344075
65,4316.69,0.85395,1.06612,1.02422,0.86445,0.93048,0.94424,0.62217,1.33699,0.8318,1.11951,0.0003416,0.0003416,0.0003416
66,4381.86,0.91669,1.14734,1.08391,0.8751,0.90508,0.94916,0.60649,1.40102,0.83721,1.13952,0.000339125,0.000339125,0.000339125
67,4447.53,0.87331,1.0186,1.0331,0.85866,0.92682,0.95519,0.58441,1.4843,0.8416,1.17899,0.00033665,0.00033665,0.00033665
68,4513.45,0.88741,1.09045,1.02962,0.85866,0.92682,0.95519,0.58441,1.4843,0.8416,1.17899,0.000334175,0.000334175,0.000334175
69,4579.55,0.88569,0.99182,1.0283,0.87165,0.90611,0.95801,0.55541,1.59902,0.87051,1.24156,0.0003317,0.0003317,0.0003317
70,4644.93,0.87315,1.05099,1.03207,0.87311,0.92824,0.95996,0.54407,1.6732,0.88341,1.28575,0.000329225,0.000329225,0.000329225
71,4710.36,0.8952,0.94055,1.01744,0.89115,0.92775,0.96264,0.54047,1.69239,0.88117,1.29451,0.00032675,0.00032675,0.00032675
72,4775.86,0.85145,0.9546,0.99451,0.91708,0.92348,0.97004,0.55305,1.65452,0.86657,1.26395,0.000324275,0.000324275,0.000324275
73,4841.55,0.93356,0.97827,1.06134,0.91708,0.92348,0.97004,0.55305,1.65452,0.86657,1.26395,0.0003218,0.0003218,0.0003218
74,4907.1,0.86827,1.01112,1.02301,0.91924,0.90819,0.97126,0.58786,1.52947,0.85927,1.19582,0.000319325,0.000319325,0.000319325
75,4972.86,0.91853,0.95476,1.04291,0.8912,0.92245,0.97013,0.63074,1.35756,0.85081,1.11611,0.00031685,0.00031685,0.00031685
76,5038.16,0.87837,1.07769,1.02733,0.93701,0.89477,0.96981,0.64901,1.27496,0.80902,1.0834,0.000314375,0.000314375,0.000314375
77,5103.99,0.90492,1.02967,1.03315,0.93231,0.9116,0.97369,0.66287,1.25113,0.77007,1.07256,0.0003119,0.0003119,0.0003119
78,5169.09,0.97251,1.00804,1.11588,0.91186,0.92548,0.9767,0.64859,1.32068,0.78454,1.10814,0.000309425,0.000309425,0.000309425
79,5234.68,0.92112,0.99352,1.04189,0.91186,0.92548,0.9767,0.64859,1.32068,0.78454,1.10814,0.00030695,0.00030695,0.00030695
80,5305.46,0.87507,0.91226,1.02773,0.91709,0.92159,0.97716,0.62741,1.40803,0.82673,1.15809,0.000304475,0.000304475,0.000304475
81,5370.57,0.87444,1.01222,1.04601,0.88956,0.93526,0.97791,0.59111,1.55129,0.87218,1.2454,0.000302,0.000302,0.000302
82,5435.55,0.89944,0.9757,1.04132,0.90771,0.96796,0.98545,0.57619,1.5992,0.84218,1.27883,0.000299525,0.000299525,0.000299525
83,5500.69,0.92967,1.00698,1.02723,0.97991,0.95497,0.99058,0.59359,1.56156,0.78663,1.25456,0.00029705,0.00029705,0.00029705
84,5566,0.93836,0.86536,1.04454,0.97991,0.95497,0.99058,0.59359,1.56156,0.78663,1.25456,0.000294575,0.000294575,0.000294575
85,5631.09,0.8779,1.00349,1.04518,0.9587,0.98514,0.99178,0.62873,1.4146,0.7368,1.17136,0.0002921,0.0002921,0.0002921
86,5696.92,0.94607,0.94051,1.04239,0.96405,0.97313,0.99107,0.65308,1.32021,0.70942,1.12076,0.000289625,0.000289625,0.000289625
